station_key,direction_label,month_name,time_of_day,is_weekend,functional_class,aadt_band,station_type,avg_forecast,max_forecast,avg_lower,avg_upper,avg_reliability,avg_interval_width,prediction_count
STN_0001,Northbound,July,Evening (7pm-12am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),471.56,591.06,212.55999999999997,730.1999999999999,0.47,517.64,6
STN_0001,Northbound,July,Evening Rush (3pm-7pm),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),966.1033333333334,1067.05,551.5966666666667,1284.705,0.5033333333333333,733.1083333333332,6
STN_0001,Northbound,July,Evening Rush (3pm-7pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),700.6125,789.2,400.14750000000004,1035.7775,0.5075000000000001,635.6299999999999,4
STN_0001,Northbound,July,Midday (10am-3pm),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),760.6316666666667,914.38,424.81166666666667,992.8533333333334,0.47,568.0416666666666,6
STN_0001,Northbound,July,Midday (10am-3pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),739.9649999999999,804.15,445.66499999999996,1063.135,0.47,617.47,2
STN_0001,Northbound,July,Morning Rush (6am-10am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),787.6177777777779,891.7,416.90777777777777,1058.8422222222223,0.5144444444444445,641.9344444444445,9
STN_0001,Northbound,July,Morning Rush (6am-10am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),316.36,461.53,169.695,488.165,0.495,318.47,2
STN_0001,Northbound,July,Night (12am-6am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),146.3109090909091,315.16,43.290909090909096,257.6709090909091,0.40545454545454546,214.38,11
STN_0001,Northbound,July,Night (12am-6am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),84.87333333333333,114.95,3.6666666666666665,174.64333333333335,0.3566666666666667,170.9766666666667,3
STN_0001,Northbound,June,Evening (7pm-12am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),383.39428571428573,555.71,175.7757142857143,574.6914285714286,0.47714285714285715,398.9157142857143,7
STN_0001,Northbound,June,Evening (7pm-12am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),392.12199999999996,520.42,156.728,633.37,0.484,476.642,5
STN_0001,Northbound,June,Evening Rush (3pm-7pm),Weekday,Other Principal Arterials,10k-25k,Established Station,1008.9399999999999,1100.62,593.9399999999999,1322.0633333333333,0.55,728.1233333333333,3
STN_0001,Northbound,June,Evening Rush (3pm-7pm),Weekend,Other Principal Arterials,10k-25k,Established Station,679.69,679.69,320.74,1051.64,0.55,730.9000000000001,1
STN_0001,Northbound,June,Evening Rush (3pm-7pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),782.04,782.04,501.08,1104.95,0.5,603.8700000000001,1
STN_0001,Northbound,June,Midday (10am-3pm),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),778.3889999999999,961.73,442.613,1011.2520000000001,0.5,568.639,10
STN_0001,Northbound,June,Midday (10am-3pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),818.365,835.91,510.73,1141.8,0.5,631.0699999999999,4
STN_0001,Northbound,June,Morning Rush (6am-10am),Weekday,Other Principal Arterials,10k-25k,Established Station,823.3299999999999,862.77,452.6166666666666,1094.5533333333333,0.55,641.9366666666666,3
STN_0001,Northbound,June,Morning Rush (6am-10am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),580.095,592.18,209.385,851.3199999999999,0.5,641.935,2
